,Year,bResult,rResult,gamelength
961,2017,0,1,35
962,2017,1,0,36
963,2017,1,0,31
964,2017,1,0,32
965,2017,0,1,39
966,2017,0,1,35
967,2017,0,1,40
968,2017,1,0,34
969,2017,1,0,29
970,2017,1,0,38
971,2017,0,1,34
972,2017,0,1,32
973,2017,1,0,32
974,2017,0,1,49
975,2017,0,1,38
976,2017,1,0,32
977,2017,1,0,41
978,2017,1,0,27
979,2017,1,0,32
980,2017,0,1,35
981,2017,1,0,30
982,2017,1,0,44
983,2017,0,1,37
984,2017,1,0,35
985,2017,0,1,39
986,2017,1,0,30
987,2017,0,1,34
988,2017,0,1,39
989,2017,1,0,30
990,2017,0,1,35
991,2017,1,0,39
992,2017,0,1,55
993,2017,1,0,35
994,2017,1,0,37
995,2017,1,0,38
996,2017,0,1,39
997,2017,1,0,24
998,2017,1,0,25
999,2017,1,0,31
1000,2017,1,0,34
1001,2017,0,1,39
1002,2017,1,0,32
1003,2017,1,0,35
1004,2017,0,1,41
1005,2017,1,0,27
1006,2017,1,0,34
1007,2017,1,0,31
1008,2017,1,0,34
1009,2017,1,0,35
1010,2017,1,0,40
1011,2017,0,1,34
1012,2017,1,0,36
1013,2017,1,0,29
1014,2017,0,1,30
1015,2017,1,0,42
1016,2017,1,0,28
1017,2017,0,1,30
1018,2017,0,1,34
1019,2017,1,0,29
1020,2017,1,0,24
1021,2017,1,0,41
1022,2017,0,1,33
1023,2017,0,1,29
1024,2017,0,1,30
1025,2017,0,1,32
1026,2017,0,1,36
1027,2017,0,1,35
1028,2017,0,1,34
1029,2017,0,1,37
1030,2017,0,1,42
1031,2017,1,0,43
1032,2017,0,1,43
1033,2017,1,0,39
1034,2017,0,1,41
1035,2017,1,0,30
1036,2017,0,1,33
1037,2017,1,0,31
1038,2017,0,1,27
1039,2017,1,0,31
1040,2017,1,0,39
1041,2017,1,0,38
1042,2017,1,0,27
1043,2017,1,0,35
1044,2017,1,0,28
1045,2017,0,1,32
1046,2017,1,0,31
1047,2017,0,1,24
1048,2017,1,0,29
1049,2017,1,0,27
1050,2017,0,1,28
1051,2017,1,0,46
1052,2017,1,0,55
1053,2017,1,0,44
1054,2017,0,1,29
1055,2017,0,1,38
1056,2017,0,1,28
1057,2017,0,1,24
1058,2017,1,0,28
1059,2017,0,1,30
1060,2017,0,1,31
1061,2017,0,1,29
1062,2017,0,1,27
1063,2017,1,0,35
1064,2017,0,1,25
1065,2017,1,0,36
1066,2017,0,1,35
1067,2017,1,0,24
1068,2017,1,0,37
1069,2017,1,0,38
1070,2017,1,0,44
1071,2017,1,0,29
1072,2017,0,1,22
1073,2017,0,1,32
1074,2017,0,1,31
1075,2017,0,1,26
1076,2017,1,0,31
1077,2017,0,1,53
1078,2017,1,0,29
1079,2017,0,1,41
1080,2017,1,0,40
1081,2017,0,1,39
1082,2017,0,1,31
1083,2017,0,1,51
1084,2017,1,0,35
1085,2017,0,1,37
1086,2017,0,1,41
1087,2017,1,0,36
